mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.24631190299987793,0.03211368974987552,0.046202898025512695,0.010077295264938045,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-3.000521080650043,-1.7720057382207628,0.23071400562111188,0.449178519989626,-3.0792977098805894,-1.4343864006281313,1.522686707203004,99
0.07791657447814941,0.009568308435373755,0.03759808540344238,0.01339666287413071,10,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-2.533068615240481,-1.6225600715352577,0.187613800739187,0.19578860682120147,-2.685065074268292,-1.2914582706967284,1.264351378402862,88
0.12770676612854004,0.017548935142204437,0.030986309051513672,0.002809046383645186,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1.9694898577923077,-1.6901507770967106,0.2021447603583184,0.36985134633516137,-3.1417787069653613,-1.24588464703218,1.3433378686527133,85
0.23078322410583496,0.03972321782493193,0.05109438896179199,0.011860368278543674,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1.9057914933922233,-1.8929092523498499,0.21754989799651736,0.41802643814709195,-3.1110832939774475,-1.2548415407151823,1.3596266778472221,86
0.08323750495910645,0.01908160578975614,0.04263162612915039,0.01812899768482905,10,1,10,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-2.6730809692020934,-1.216039354055463,0.01649624148141693,0.18501734193098351,-1.1260071248801409,-0.9627227729450596,1.0288181062623238,58
0.12095675468444825,0.007242048519100536,0.035703849792480466,0.008537134255569977,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-2.0194581165327876,-1.1273813966776114,0.032576370019299916,0.2090297652723312,-1.4523534513766223,-0.8715173658590782,0.8608800745068053,49
0.23498849868774413,0.01733381273362963,0.04650359153747559,0.008042455770931685,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-1.7048603267519997,-1.130711973198422,0.03402406322537477,0.22505100681042445,-1.5727533497791697,-0.8298501159387583,0.8083515222025254,45
0.07372055053710938,0.007712004275088187,0.028540611267089844,0.0033587866614394773,10,2,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-2.9430333769156354,-0.38998897601530413,0.11743074087569416,0.3933589705032565,-2.342895353897427,-1.0330255990898831,1.3517031711932912,79
0.13166093826293945,0.030580243362004798,0.03349142074584961,0.01023239552258212,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-2.1897304268840205,-0.4938743124159275,0.13105158622769553,0.4069155921123465,-2.9865000497832708,-1.0264275221486354,1.3321412276840214,78
0.24893016815185548,0.022668142875462597,0.038129997253417966,0.006127514424150995,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-2.2816525686362286,-0.48527107713008677,0.14329593911514438,0.4093825537263679,-3.0078882180774196,-1.0444266742004444,1.358146561109489,81
0.08668599128723145,0.011635806029366196,0.02672233581542969,0.009407663301470207,10,2,5,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-2.6199183056094357,-0.34272050323537684,0.11103814710888238,0.32540851225435774,-2.5798228330502804,-1.0212029965063707,1.3069703509204726,77
0.12132668495178223,0.007002831838216217,0.03517403602600098,0.013494443272109906,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1.9139451625867694,-0.4056627514888034,0.1235095881386884,0.3802104975043582,-3.2127714574968316,-1.0057318571858715,1.3602926589100643,74
0.23775229454040528,0.02650227260341468,0.05051355361938477,0.0018671854151066085,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1.8926326601681587,-0.44356593507608677,0.1343554454890088,0.38528898066377415,-3.179070771203934,-0.9991249880590793,1.3461460076047844,71
